keyword,count
14-3-3_isoform_specificity,1
16s_rna,1
16s_rrna,1
16s_rrna_amplicon,1
16s_rrna_amplicon_sequencing,1
16s_rrna_gene,1
2_new_species,1
3d-clinostat,1
3d_culture,1
3d_gait,1
4-ethylenedioxythiophene)_(pedot),1
454_pyrosequencing,1
[ca_2+_]_cyt,1
abalone,1
abc_transporters,1
abiotic_stress,1
ablim2,1
abscisic_acid,1
acceleration,1
acclimation,1
acinetobacter,1
actin,2
actin-binding_protein,1
acute_kidney_injury,1
adaptation,3
adipocyte,1
adipokines,1
adipose-derived_stem_cell,1
adipose_tissue,1
adolescents,1
adp,1
afferent,1
afferents,1
african_swine_fever_virus,1
agar_media,1
"ages,_advanced_glycation_end_products",1
aging,1
aging_muscle,1
agp,1
agriculture,1
air,1
air_ionization,1
algae,1
alginate,1
all-solid-state_ion-selective_electrode_(assise),1
amphotericin_b,1
amr,1
amy1,1
analog,1
analytical,1
anatomy,1
ani,1
animal_model,1
animal_models,2
anthropology,1
anti-inflammatory,1
antibiotic_profiling,1
antibiotic_resistance,5
antifungal,1
antimicrobial_peptide,1
antimicrobial_resistance,1
antioxidant,2
antioxidant_1._the_spaceflight_environment,1
antioxidative_enzymes,1
antiviral,1
apex_growth_unit,1
aphid,1
apogee_wheat,1
apoptosis,5
arabidopsis,14
arabidopsis_thaliana,9
arogenate_dehydratases,1
artificial_gravity,2
aspergillus_fumigatus,2
aspergillus_nidulans,1
aspergillus_niger,2
astrobiology,3
astronaut_health,1
"atann1,_arabidopsis_annexin_1",1
atg2a,1
atm,1
atp,1
atp1a1,1
atr,1
autophagy,1
autotropism,1
auxin,4
auxin_response,1
auxin_transport,1
b-box_domain,1
b20,1
bacillus,1
bacillus_subtilis,2
backpacks,1
bacteria,1
balloon_flight,1
bd21,1
bd21-3,1
bedrest,1
behavior,1
beta_cell_replacement_therapy,1
bioarchaeology,1
biochemistry,2
biocontrol,1
biocorrosion,1
biocytin,1
biodegradation,1
biodiesel,1
bioengineering,1
biofouling,1
bioinformatics,1
biomarkers,1
biomechanics,2
biomedical_engineering,1
biomimetic,1
biomining,1
bioreactor,2
bioremediation,2
biosensors,1
biotin,1
black_fungi,1
blood-retinal_barrier,1
blss,1
bmat,2
bone,6
"bone-graft_1_abbreviations:_gy,_gray",1
bone_architecture,1
bone_formation,1
bone_formation_and_resorption,1
bone_functional_adaptation,1
bone_hemodynamics,1
bone_histomorphometry,2
bone_loss,1
bone_marrow,2
bone_marrow_adipose_tissue,1
bone_strength,1
botrytis,1
brachypodium_distachyon,2
brain,4
brassica_napus,1
brassica_oleraceal,1
brassinosteroid,1
brassinosteroids,1
brca2,1
built,1
built-environment,1
built_environment,5
built_microbiome,1
burn,1
bzip28,1
bzip60,1
bzip_transcription_factors,1
bzr1,1
c-di-amp,1
c._elegans,2
ca_2+,1
ca_2+_signaling,1
cabp1,1
cacna1c_cellular_protein_complex_disassembly_apc2,1
cacna1d,1
cadaverine,2
caenorhabditis_elegans,3
caenorhabdtis_elegans,1
calcium,3
calcium_response,1
caloric_restriction,1
calorie_restriction,1
cancellous_bone,1
cancer,1
canopy_photosynthesis,1
cardiomyocytes,1
cardiovascular,1
cardiovascular_degeneration,1
cardiovascular_disease,1
cardiovascular_system,1
carotid_artery,1
cartilage,1
cartilage_repair,1
caspases,2
caspofungin,1
cation-polar-cation_clip,1
caveolin-1,1
cd2ap,1
cdkn1a,1
"cdpks,_calcium_dependent_protein_kinases",1
cell-cycle,1
cell-to-cell_communication,1
cell_cycle,2
cell_differentiation,1
cell_elongation,1
cell_encapsulation,1
cell_fate,1
cell_file_rotation,1
cell_mechanics,1
cell_membrane,2
cell_metabolism,1
cell_type_specificity,1
cell_wall,1
cell_wall_biosynthesis,1
cellular_communication,1
centrifugation,1
cervix,1
cfd-dem,1
cfu,1
channel,1
channel_kinetics,1
chemical_engineering,1
chemistry,1
chernobyl,1
children,1
chlamydomonas_reinhardtii,1
chlorella_vulgaris,1
chronic,1
chronic_kidney_disease,1
chronic_low-dose_irradiation,1
circadian,1
circadian_rhythm,1
cleanroom,1
climate_change,1
clinical_trial_registry-china:_chictri1800016647_epinephrine,1
clinorotation,1
clinostat,4
clinostat_effect,1
clonal,1
closed_habitat,2
clubroot_disease,1
cns,1
co-immunoprecipitation,1
cohnella,2
collagen,1
collagen_microsphere,1
columella_stem_cell,1
commercial_generic_bioprocessing_apparatus,1
commercial_resupply_vehicle,1
community_modeling,1
composition,1
computational_fluid_dynamics,1
computational_mass_spectrometry,1
conductive_polymer_transducer,1
constans-like,1
contrast-induced_nephropathy,1
contrast_media,1
controlled_environment_agriculture,1
convergent_evolution,1
copper_octanoate,1
cortical_bone,1
cosmic_radiation,1
covid-19,1
critical_high_temperature,1
cross-sectional_geometry,1
cross-species_comparison,1
csrp2,1
cupb5,1
cyanide_toxicity,1
cyp4a1,1
cysteine_endopeptidase,1
cysteine_knot,1
cystobasidium_onofrii,1
cytochrome_b5,1
cytokine_production,1
cytomegalovirus,2
cytoskeleton,3
dappled,1
data,2
data_ar_c_hi_v_e,2
deep_space_exploration,1
dehydration,1
desiccation_tolerance,1
development,1
diabetes_type_1,1
diagnostic_and_therapeutic_techniques_and_equipment,1
diagnostic_assay,1
diaphyseal_shape,1
differential_expression,1
differentiation,1
disc_compression,1
diseases,1
disuse,2
dlat,1
dmtn,1
dna_methylation,2
dna_repair,1
dormant_genes,1
dosimetry,1
double-strand_breaks,2
draft_genome,1
drosophila,3
druggable_genes,1
drugs,1
dual_energy_absorptiometry,2
easy_plate,1
ecological_relevance,1
ecotype-specific,1
electrical_engineering,1
electrochemical_processes,1
electrochemical_sensor,1
electrochemical_techniques,1
electron_microscopy,3
electrophysiology,1
elevated_co_2,1
elf_(extremely_low_frequency)_waves,1
elongator_complex_subunit_2,1
embryoid_bodies,1
embryonic_stem_cells,1
eml4,1
endochondral_bone_formation,1
endog,1
energetics,1
enterobacter,1
enterobacter_bugandensis,1
enterobacteriaceae,1
enterococcus_faecalis,1
enthesis,2
environmental_contamination,1
environmental_microbiome,1
environmental_response,1
environmental_surface,1
epa_superfund,1
epigenetic,1
epigenomic_regulators_condition_spaceflight_response_spaceflight_adaptation,1
epstein-barr_virus,1
er_associated_degradation_(erad),1
er_bodies,1
er_stress,5
erk1/2,1
estrogen_receptor,1
evolutionary_processes,1
evolutionary_rescue,1
exercise,2
exocyst_frontiers_in_plant_science_frontiersin.org_01,1
exocytosis,1
experimental_evolution,1
extreme_environment,2
extremophiles,5
fair,2
fatigue,1
fatty_acids,1
female_reproductive_system,1
femoral_artery,1
fh2,1
fhod3,1
film_media,1
fish_oils,1
flow_cytometry,1
fluid_processing_apparatus,1
fluid_processing_apparatus_(fpa),1
flux_balance_analysis,1
fmnl3,1
fmnl3_actomyosin_structure_organization_csrp2,1
forward_contamination,1
foxj1,1
fractional_gravity,4
fractionation_dose,1
frmd6,1
"fu,_fluorescence_unit",1
fucosylated_chondroitin_sulfate,1
fuel,1
functional_adaptation,1
functional_annotation,2
fungal_biofilm,1
fungal_evolution,1
fungal_spores,1
fungi,4
fusarium,1
fyn,1
galactic_cosmic_radiation,2
galactic_cosmic_ray,1
galactic_cosmic_rays,2
gamma_radiation,1
gastrointestinal_microbiome,1
gaz8,1
gcamp,1
gcamp3,1
gene_array,1
gene_expression,4
genelab,3
genetic_diversity,1
genetic_fitness,1
genetics,1
genome-inferred_phenotype,2
genome-scale_metabolic_models,1
genomes,1
genomic_instability,1
genomics,2
gfp,1
giant_polypeptides,1
ginseng_total_saponins,1
global_metabolomics,1
glutamate,1
glycolysis,1
glycome_profiling,1
glycosylation,1
golgi_apparatus,1
gradient_boosting_method,1
granulocyte-macrophage_colony_stimulating_factor,1
granulomas_genbank_accession_number_hq864711_dappled,1
graph_convolutional_neural_networks,1
graph_neural_network,1
graphs,1
gravisensitivity,1
gravitaxis,1
gravitropism,6
gravity,3
gravity_perception,1
gravity_sensing,1
grf,1
ground-based,2
growing_in_space_conditions,1
growth_factors,1
growth_plate,1
gut_microbiota,1
gynecological_cancers,1
hair_cell,1
hair_cells,1
health,1
healthspan,1
heart,1
heat_shock,2
heat_shock_proteins,1
heat_stress,1
heavy_chain,1
hematopoiesis,2
hemocytes,3
hemodynamics,1
heparin,1
heparin-binding_motif,1
herpes_viral_reactivation,2
herpesviruses,1
heterologous_expression,1
high_throughput_sequencing,1
hind_limb_unloading,1
hindlimb_unloading,5
histology,2
histomorphometry,3
homeorhesis,1
hormones,1
host-bacteria_interactions,1
host-microbe_interactions,2
host-parasite,1
host-parasite_interactions,1
hpa_axis,1
hpv,1
hsp-90,1
hsp27,1
hsr,1
huvecs,1
hydrogel,1
hydrogen_peroxide,1
hydroperoxide,1
hypergravity,2
hyperspectral_imaging,1
hypoxiainducible_factor,1
hze,2
hze_irradiation,1
idiopathic_low_back_pain,1
immortal_cell_line,1
immune,1
immune_suppression,1
immune_system,2
immunity,1
immunization,1
immunoglobulin_gene_use,1
immunoglobulin_genes,1
immunohistochemistry,2
immunohistochemistry_human,1
indoor_microbiome,1
industry,1
inflammasome,1
inflammation,4
innate_immunity,1
insect,1
insp_3,1
instability,1
integrated_genomics_and_post-genomics_approaches_in_microbial_ecology_viability,1
integrin,1
international_space_station,20
international_space_station_(iss),2
intervertebral_disc,1
intracellular_bacteria,1
intracranial_hypertension,1
intranasal_delivery,1
investigative_techniques,1
ionizing_radiation,4
iqgap3_actin_filament-based_process_ablim2,1
ire1,3
iron,1
islet,1
isru,1
iss,5
iss_metagenomics,1
iss_spaceflight_environment,1
issue_126,1
issue_74,1
its,1
"k_elastic_,_elastic_stiffness",1
kae1,1
"kap,_ajb,_rtt_kap,_cpw,_and_rtt_kap,_ajb,_cpw,_rtt,_and_uti_animal_model",1
kidney,1
kidney-on-a-chip,1
kit_w/w-v,1
knottin_fold,1
knowledge_graph,1
knowledge_graphs,1
knufia_chersonesos,1
ksc_fixation_tubes,1
ku80,1
lab-on-a-chip,1
lab_on_chip,1
lactation,1
lateral_root,2
"ldao,_n-dodecyl-n,n-dimethylamine-n-oxide",1
leptin,2
leptin_receptor,1
leptopilina,1
lettuce,1
lifespan,1
lig4,1
light,2
lignin,1
limb_girdle_muscular_dystrophy,1
limits_of_life,1
linc_complex,1
link_prediction,1
lipid_hydroperoxide,1
lipids,1
liver,2
load-sensing,1
low_back_pain,1
low_shear_modeled_microgravity,1
lumbar_asymmetry,1
lumbar_lordosis,1
lumbar_spine,1
lunar_gravity,1
lymph_propulsion,1
lymphatic,1
lymphatic_contractility,1
lymphatic_permeability,1
machine_learning,2
macrophage,2
macrophage_colony_stimulating_factors,1
macrophages,1
macula,1
mammary,1
maneuverability,1
marine_sulfated_glycans,1
marrow_adipose_tissue,1
mars_2020_mission,1
mars_simulation,1
mass_spectrometry,1
maternal_stress,1
mcat,1
mechanical_engineering,1
mechanical_loading,2
mechanics,1
mechano-sensing,1
mechanosensation,1
mechanosensing,1
mechanosensitive_channel,1
mechanosensitive_ion_channel,1
mechanostat,1
mechanotransduction,5
medical_countermeasures,1
medicine,1
megakaryocytes,1
melanotic_tumors,1
membrane_trafficking,1
membrane_trafficking_system,1
mendelian_randomization_analysis,1
menopause,1
meristematic_cells,1
metabolic_dysfunction,1
metabolic_modeling,1
metabolic_modelling,2
metabolic_networks,1
metabolism,1
metabolome,1
metabolomics,2
metabolomics_cell,1
metagenome-assembled_genomes,2
metagenomics,5
methylation_mutants,1
methylobacterium,1
methyltransferase_1,1
mhc,1
microarray,3
microbes,2
microbial_communities,1
microbial_community,1
microbial_diversity,2
microbial_metabolites,1
microbial_monitoring,2
microbial_tracking,2
microbial_tracking-1,1
microbiome,9
microbiomics,1
microcirculation,1
microcomputed_tomography,3
microdomains,1
microfluidics,4
microglia,1
microgravity,43
microgravity_culture,1
microgravity_model,1
microscopy,2
microtechnology,1
microtubules,1
miniaturization,1
miniproteins,1
mitochondria,2
mixed_strategy_extracellular_vesicles,1
mizuna_mustard,1
model_organisms,1
moisture,2
mold,2
mollusks,1
motility,1
motion_detection,1
mouse,2
mouse_model,1
mouse_retina,1
mrc1,1
mri,1
"mtmscl,_m._tuberculosis_mscl",1
muca,1
mucb,1
multi-omics,1
multifidus,1
multilineage-differentiating_stress-enduring_cell,1
murine,1
muscle,6
muscle_atrophy,1
mutation,2
myclobutanil,1
mycobiome,1
myo18a_inorganic_cation_transmembrane_transport_akt1,1
myocarditis,1
myocyte,1
myosins,1
n-3_polyunsaturated_fatty_acids,1
n_6_-threonylcarbamoyladenosine,1
"n_f_,_fatigue_life",1
naganisha_tulchinskyi,1
naganishia_kalamii,1
nap1l1,1
nasa,4
nasa_aph,1
nasa_cleanrooms,1
nasa_twin_study,1
natural_products_discovery,1
natural_variation,1
ncrna,1
network_analysis,2
network_biology,1
neural_stem_cells,2
neuroendocrine,1
neuronal_specification,1
neurons,1
neuroplasticity,1
neutrophils,1
next_generation_sequencing,1
nf-κb,1
ngs,1
nitric_oxide,1
nlr,1
node_embeddings,1
norms_of_reaction_to_temperature,1
novel_bacteria,2
nrg1,1
nsf,1
nuclear_import,1
nuclear_magnetic_resonance,1
nuclear_morphology,1
nutritional_supplements,1
ob/ob,1
obesity,2
obscurin,1
ocular_tissue,1
odp2,1
olfactory_pathways,1
oligodendrocyte_progenitor_energetics,1
oligodendrocyte_progenitors,2
omics,2
open_science,2
optic_nerve,1
optic_nerve_head,1
oral,1
organotypic_rafts,1
osmoregulation,1
osteoblast,3
osteoblasts,2
osteoclast,4
osteoclasts,1
osteocyte,1
osteoporosis,4
osteoprotegerin,1
other_pharmacotherapy,1
otoendoscopic,1
otosclerosis,1
overexpression,1
oxidative_phosphorylation,1
oxidative_stress,5
oxidative_stress_response,1
p70s6_kinase,1
p70s6k,1
pangenome,1
pangenome_analysis,3
parabolic_flight,1
paralysis,1
parasitoid_wasps,1
partial_weight-bearing,1
particle_radiation,1
particulate_chromium_(vi),1
patch-clamp_electrophysiology,1
pathogenicity,1
pathogens,1
pdc-e2,1
penicillium_chrysogenum,1
perception_time,1
peripheral_artery_disease,1
perk_gene_family,1
permeability,1
petrifilm,1
phenotype,1
phenotypic_plasticity,1
phenotyping,1
phosphoinositides,1
phosphoproteomics,1
photoreceptor,1
photosynthesis,1
phototropism,4
phyllosphere,1
phylochip,1
phylogenetic_analyses,1
phylogenetic_analysis,1
phylogenomic_analyses,1
physical_activity,1
physiological_adaptation,1
physiological_effects,1
physiology,1
phytochromes,1
pin2,1
pin5,1
pins,1
plant,2
plant_cell_culture,1
plant_defense_signaling,1
plant_growth,2
plant_pathogens,1
plasma_membrane_protein_enrichment,1
plasmodesmata,1
platelets,1
pleopeltis_polypodioides,1
pluripotency,1
pma,1
point_of_care,1
poly(3,1
polyamines,2
polyphasic_taxomony,1
polystyrene_microsphere,1
population_dynamics,1
population_genetics,1
position_sense,1
positive_holes,1
pre-earthquake_phenomena,1
pregnancy,1
prenatal_stress,1
presentation_time,1
preservation,1
pressure-clamp,1
prestress,1
probiotic_cleaning,1
programmed_cell_death,1
proliferation,2
propiconazole,1
propidium_monoazide,2
proprioception,1
protein-lipid_interactions,1
protein_expression,1
protein_interactions,1
protein_quality_control,1
proteome,3
proteomics,9
protons,2
pseudomonas_aeruginosa,2
pseudomonas_lurida,1
pyranonigrin_a,1
quiescent_centre_(qc),1
raav,1
raav-leptin,1
rad51_cytoplasmic_accumulation,1
rad51c,1
radiation,6
radiation_www.frontiersin.org,1
random_forest,1
random_positioning_machine,2
random_walk,1
rbohd,1
rbohf,1
reaction_norm,1
reactive_oxygen_species,6
realization_time,1
reambulation,1
receptor-like_kinase,1
reduced_gravity,4
relative_humidity,2
repseq,1
retina,2
rhizosphere,1
ribocode,1
ribosomally_synthesized_and_post-translationally_modified_peptides,1
ribosome_biogenesis,1
ribosomes,1
rifampicin,2
rna-seq,5
rna_later,1
rnai,1
rodent,1
rodent_research_missions,1
room_temperature,1
root,2
root_apex,1
root_apical_meristem,1
root_architecture,1
root_development,2
root_growth,2
root_meristem,1
root_movement,1
roots,1
ros,2
rotating_wall_vessel,3
rotator_cuff,1
rpob,2
rr-1,1
rrid:ab_2336827_vector_lab,1
rrid:scr_001775_neurolucida,1
rrid:scr_014199_adobe®_photoshop®,1
s6k,1
saccharomyces_cerevisiae,1
salicylic_acid,1
salivary_gland,1
salivary_gland_structure,1
salivary_glands,2
salmonella_typhimurium,1
"samscl,_s._auresus_mscl",1
saprotrophs,1
sar,1
sarcoglycan,1
sarcoglycanopathies,1
sarcolemma,1
sarcomere,1
sarcopenia,2
sars-cov-2,2
scalability,1
scanning_electron_microscopy,2
scd1,1
screening,1
"sds,_sodium_dodecyl_sulphate",1
"se,_sedimentation_equilibrium_analytical_ultracentrifugation",1
"sec-mals,_size_exclusion_chromatography_multi-angle_light_scattering",1
secondary_metabolites,1
secretion_systems,1
secretome,1
secretomics,1
seedling_growth,1
seeds,1
sem,1
sepsis,1
serial_electron_microscopy_reconstruction,1
serum_metabolomics,1
sex-based,1
shear_stress,1
short-chain_fatty_acids,1
shoulder,1
signal_transduction,1
simulated_mars_conditions,1
simulated_microgravity,3
simulated_microgravity_aci43098_cytochrome_p450_reductase_farnesyl_pyrophosphate_synthase_baa33979_isopentenyl-diphosphate_delta_isomerase,1
single-cell_analysis,1
single-cell_rna_sequencing,1
single_cell_rna_sequencing,1
skeletal_blood_flow,1
skeletal_longitudinal_growth,1
skeletal_muscle_atrophy,1
skeleton,1
skewing,1
skin_microbiota,1
small_g_protein,1
small_molecule_inhibitors,1
social_isolation,1
solar_particle_event,1
space,4
space_bioleaching,1
space_biology,11
space_biomining,1
space_environment,2
space_exploration,2
space_flight,6
space_flight_hardware_1_list_of_abbreviations._colony_forming_units-granulocyte_macrophage_(cfu-gm),1
space_microbiology,1
space_microbiome,1
space_omics,1
space_radiation,8
space_station,1
space_sustainability,1
space_x,1
spacecraft,3
spacefl_ight,1
spaceflight,35
spaceflight_associated_neuro-ocular_syndrome_(sans),1
spaceflight_experiments,1
spaceflight_imaging,1
spaceflight_microgravity,1
sparc,1
spatial_orientation,1
specialized_pro-resolving_lipid_mediators,1
sphingomonas,1
spleen,1
spore_survival,1
stability,1
staphylococcus,1
staphylococcus_epidermidis,1
starch_granules,1
statocyst,1
stem_cell,2
stem_cell_derived_beta_cells,1
sterilization,1
sterols,1
stress,1
stress_resistance,1
stress_response,1
structure,2
sts-126,1
subcellular_localization,1
suborbital_space,1
succession,1
sulfated_fucan,1
surface,2
surgery,1
surgical_field_clarity,1
symbiosis,1
sympathetic_signaling_osteoporos_int,1
synj1_cellular_component_disassembly_apc2,1
systemic_signaling,1
t3_secretion_system,1
t6a,1
technology,1
telomere_length,1
tensegrity,1
tethering_factor,2
the_international_space_station,2
thermal_niche,1
thermal_plasticity,1
thermogenesis,1
thermoneutral,1
three-dimensional_clinostat,1
thymus,1
titan-like_cells,1
total-body_irradiation,1
trans-golgi_network,2
trans-golgi_network._novel_golgi-localized_putative_glycosyltransferase_protein,1
transcription_factor,3
transcriptome,5
transcriptomics,11
transmission_electron_microscopy,1
transporter,1
triticum_aestivum_l.,1
tubb,1
ulf_(ultralow_frequency)_waves,1
unc-89,1
uncharacterized_genes,1
undifferentiated_cells,1
undulatory_locomotion,1
unfolded_protein_response,4
unfolded_protein_response_(upr),1
unloading,2
upper_thermal_limit,1
upright_mri,1
uv,1
uv_resistance,1
var,1
vascular_resistance,1
vasculature,1
veggie,1
venom,1
vestibular,2
vestibular_system,1
viability,1
vibrio,1
viral_inhibition,1
virus-like_particles,1
virus_entry,1
virus_reactivation,1
visual_impairment_intracranial_pressure,1
water,1
water_oxidation,1
weight_bearing,1
weightlessness,1
weightlessness_simulation,1
wgs,1
wheat_kernel,1
wheel_running,2
white_adipose_tissue,1
whole_genome_sequencing,1
xenopus_laevis_oocytes,1
xero1,1
xth,1
yeast,3
zoledronic_acid,1
"ε_f_,_strain-to-failure",1
